#adm1+pcode,#adm2+pcode,#date,#affected+infected+confirmed+total,#affected+infected+dead+total,created_at,created_by
13,66,2020-03-21,117.2021743311022,4.874192505263229,2020-12-10 12:45:33.598434,jaredross
13,67,2020-03-21,126.96825615606758,5.28034335620697,2020-12-10 12:45:33.598434,jaredross
13,68,2020-03-21,130.73360885738222,5.436936474220054,2020-12-10 12:45:33.598434,jaredross
13,69,2020-03-21,154.09596065544804,6.408527664309748,2020-12-10 12:45:33.598434,jaredross
13,66,2020-03-22,130.05231820861437,7.311288757894845,2020-12-10 12:45:33.598434,jaredross
13,67,2020-03-22,140.88916136788598,7.920515034310455,2020-12-10 12:45:33.598434,jaredross
13,68,2020-03-22,145.06735047123507,8.155404711330082,2020-12-10 12:45:33.598434,jaredross
13,69,2020-03-22,170.99116995226464,9.612791496464622,2020-12-10 12:45:33.598434,jaredross
13,66,2020-03-23,146.89043777225098,8.419059781818305,2020-12-10 12:45:33.598434,jaredross
13,67,2020-03-23,159.13034750751004,9.120593069812038,2020-12-10 12:45:33.598434,jaredross
13,68,2020-03-23,163.84949465490436,9.391072091834639,2020-12-10 12:45:33.598434,jaredross
13,69,2020-03-23,193.12972006533468,11.06927505653502,2020-12-10 12:45:33.598434,jaredross
13,66,2020-03-24,152.65084709665297,10.191493420095844,2020-12-10 12:45:33.598434,jaredross
13,67,2020-03-24,165.37075329211828,11.040717926614573,2020-12-10 12:45:33.598434,jaredross
13,68,2020-03-24,170.27496503352805,11.368139900641932,2020-12-10 12:45:33.598434,jaredross
13,69,2020-03-24,200.70343457770076,13.399648752647655,2020-12-10 12:45:33.598434,jaredross
13,66,2020-03-25,180.1235684899548,11.520818648803997,2020-12-10 12:45:33.598434,jaredross
13,67,2020-03-25,195.13268857255756,12.480811569216474,2020-12-10 12:45:33.598434,jaredross
13,68,2020-03-25,200.91951607004108,12.8509407572474,2020-12-10 12:45:33.598434,jaredross
13,69,2020-03-25,236.8242268674466,15.147429024732133,2020-12-10 12:45:33.598434,jaredross
13,66,2020-03-26,209.59027772631887,13.957914901435613,2020-12-10 12:45:33.598434,jaredross
13,67,2020-03-26,227.0547643168997,15.120983247319959,2020-12-10 12:45:33.598434,jaredross
13,68,2020-03-26,233.7882683914623,15.569408994357428,2020-12-10 12:45:33.598434,jaredross
13,69,2020-03-26,275.56668956531917,18.351692856887006,2020-12-10 12:45:33.598434,jaredross
13,66,2020-03-27,225.32062626603204,15.065685925359073,2020-12-10 12:45:33.598434,jaredross
13,67,2020-03-27,244.0958724210222,16.321061282821542,2020-12-10 12:45:33.598434,jaredross
13,68,2020-03-27,251.33474519462703,16.805076374861986,2020-12-10 12:45:33.598434,jaredross
13,69,2020-03-27,296.24875611831885,19.808176416957405,2020-12-10 12:45:33.598434,jaredross
13,66,2020-03-28,251.02091402105634,16.83811956363661,2020-12-10 12:45:33.598434,jaredross
13,67,2020-03-28,271.9376828446589,18.241186139624077,2020-12-10 12:45:33.598434,jaredross
13,68,2020-03-28,280.0022284223328,18.782144183669278,2020-12-10 12:45:33.598434,jaredross
13,69,2020-03-28,330.03917471195206,22.13855011307004,2020-12-10 12:45:33.598434,jaredross
13,66,2020-03-29,286.46958678660707,19.496770021052917,2020-12-10 12:45:33.598434,jaredross
13,67,2020-03-29,310.34017998070965,21.12137342482788,2020-12-10 12:45:33.598434,jaredross
13,68,2020-03-29,319.5435845984786,21.747745896880215,2020-12-10 12:45:33.598434,jaredross
13,69,2020-03-29,376.6466486342048,25.634110657238992,2020-12-10 12:45:33.598434,jaredross
13,66,2020-03-30,297.9904054354111,22.59852888803861,2020-12-10 12:45:33.598434,jaredross
13,67,2020-03-30,322.8209915499261,24.481591924232315,2020-12-10 12:45:33.598434,jaredross
13,68,2020-03-30,332.39452535572605,25.207614562292978,2020-12-10 12:45:33.598434,jaredross
13,69,2020-03-30,391.7940776589369,29.712264625436106,2020-12-10 12:45:33.598434,jaredross
13,66,2020-03-31,310.39744090335387,25.47873355023961,2020-12-10 12:45:33.598434,jaredross
13,67,2020-03-31,336.26186554754383,27.601794816536433,2020-12-10 12:45:33.598434,jaredross
13,68,2020-03-31,346.23400001737707,28.420349751604828,2020-12-10 12:45:33.598434,jaredross
13,69,2020-03-31,408.10669353172534,33.49912188161914,2020-12-10 12:45:33.598434,jaredross
13,66,2020-04-01,318.1518380708181,27.251167188517147,2020-12-10 12:45:33.598434,jaredross
13,67,2020-04-01,344.6624117960549,29.521919673338967,2020-12-10 12:45:33.598434,jaredross
